date,name,countryCode
2014-01-01,New Year's Day,US
2014-01-20,"Martin Luther King, Jr. Day",US
2014-02-12,Lincoln's Birthday,US
2014-02-17,Presidents Day,US
2014-04-18,Good Friday,US
2014-05-08,Truman Day,US
2014-05-26,Memorial Day,US
2014-07-04,Independence Day,US
2014-09-01,Labour Day,US
2014-10-13,Columbus Day,US
2014-11-11,Veterans Day,US
2014-11-27,Thanksgiving Day,US
2014-12-25,Christmas Day,US
2015-01-01,New Year's Day,US
2015-01-19,"Martin Luther King, Jr. Day",US
2015-02-12,Lincoln's Birthday,US
2015-02-16,Presidents Day,US
2015-04-03,Good Friday,US
2015-05-08,Truman Day,US
2015-05-25,Memorial Day,US
2015-07-03,Independence Day,US
2015-09-07,Labour Day,US
2015-10-12,Columbus Day,US
2015-11-11,Veterans Day,US
2015-11-26,Thanksgiving Day,US
2015-12-25,Christmas Day,US
2016-01-01,New Year's Day,US
2016-01-18,"Martin Luther King, Jr. Day",US
2016-02-12,Lincoln's Birthday,US
2016-02-15,Presidents Day,US
2016-03-25,Good Friday,US
2016-05-08,Truman Day,US
2016-05-30,Memorial Day,US
2016-07-04,Independence Day,US
2016-09-05,Labour Day,US
2016-10-10,Columbus Day,US
2016-11-11,Veterans Day,US
2016-11-24,Thanksgiving Day,US
2016-12-26,Christmas Day,US
2017-01-02,New Year's Day,US
2017-01-16,"Martin Luther King, Jr. Day",US
2017-02-12,Lincoln's Birthday,US
2017-02-20,Presidents Day,US
2017-04-14,Good Friday,US
2017-05-08,Truman Day,US
2017-05-29,Memorial Day,US
2017-07-04,Independence Day,US
2017-09-04,Labour Day,US
2017-10-09,Columbus Day,US
2017-11-10,Veterans Day,US
2017-11-23,Thanksgiving Day,US
2017-12-25,Christmas Day,US
